,2.102A,2.102B,2.103,2.104,2.201,2.203,2.305,2.306,2.311,2.312,2.410A,2.410B,2.412A,2.412B,2.415,exitA,exitB,exitC,exitD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2.102A,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,134.7,360,360,360,360,360,360
2.102B,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,-122,360,360,360,360,360,360,360,360,360,360,360
2.103,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,-90,360,360,360,360,360,360,360,360,360,360,360,360
2.104,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,104.9,360,360,360,360
2.201,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,0,360,360,360,360,360,360,360,360,360,360,360,360,360,360
2.203,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,180,360,360,360,360,360,360,360,360,360,360,360,360,360,360
2.305,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,180,360,360
2.306,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,180
2.311,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,0,360
2.312,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,0,360,360
2.410A,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,-61.5,360,360,360,360
2.410B,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,-75,360,360,360,360,360
2.412A,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,-48.1,360,360,360,360,360
2.412B,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,-63.8,360,360,360,360,360,360,360
2.415,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,0,360,360,360,360,360,360,360
exitA,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,180,360,360,360,360,360,360,360,360,360,360,360,360,360
exitB,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,180,360,360,360
exitC,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,44.2,360,360,360,360,360,360,360,360,360,360
exitD,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,-90
1,360,360,360,360,180,0,360,360,360,360,360,360,360,360,360,360,360,360,360,360,90,360,360,360,360,360,360,360,360,360,360,360,360,360
2,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,0,360,360,360,-90,360,180,360,360,360,360,360,360,360,360,90,360,360,360
3,360,360,90,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,0,360,168,360,360,360,360,360,360,360,360,360,360,360
4,360,58,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,-12,360,141,360,360,360,360,360,360,360,360,360,360
5,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,-135.8,360,360,360,360,-39,360,141,360,360,360,360,360,360,360,360,360
6,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,-39,360,103,360,360,360,360,360,360,360,360
7,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,-77,360,79.9,360,360,360,360,360,360,360
8,360,360,360,360,360,360,360,360,360,360,360,360,360,116.2,180,360,360,360,360,360,360,360,360,360,360,-100,360,44.7,360,360,360,360,360,360
9,-45.3,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,-135.3,360,44.7,360,360,360,360,360
10,360,360,360,360,360,360,360,360,360,360,360,105,131.9,360,360,360,360,360,360,360,360,360,360,360,360,360,360,-135.3,360,18.3,360,360,360,360
11,360,360,360,-75.1,360,360,360,360,360,360,118.5,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,-161.7,360,0,360,360,360
12,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,0,360,360,360,-90,360,360,360,360,360,360,360,360,-180,360,90,360,360
13,360,360,360,360,360,360,0,360,360,180,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,-90,360,90,360
14,360,360,360,360,360,360,360,360,180,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,-90,360,90
15,360,360,360,360,360,360,360,0,360,360,360,360,360,360,360,360,360,360,90,360,360,360,360,360,360,360,360,360,360,360,360,360,-90,360
